,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo
0,00000020,MOVIMIENTO REGIONAL EL MAICITO,,100.000,19,19,293,00000020.jpg,8.432,6.811,10/10/2022,16:51 h, 100.0000,020112
1,00000019,SOCIOS POR ANCASH,,100.000,19,19,483,00000019.jpg,13.899,11.227,10/10/2022,16:51 h, 100.0000,020112
2,00000018,MOVIMIENTO ACCION NACIONALISTA PERUANO,,100.000,19,19,76,00000018.jpg,2.187,1.767,10/10/2022,16:51 h, 100.0000,020112
3,00000021,ALIANZA GOBIERNO UNIDAD Y ACCION - AGUA,,100.000,19,19,613,00000021.jpg,17.640,14.249,10/10/2022,16:51 h, 100.0000,020112
4,00000005,JUNTOS POR EL PERU,,100.000,19,19,926,00000005.jpg,26.647,21.525,10/10/2022,16:51 h, 100.0000,020112
5,00000001,ACCION POPULAR,,100.000,19,19,31,00000001.jpg,0.892,0.721,10/10/2022,16:51 h, 100.0000,020112
6,00000009,PODEMOS PERU,,100.000,19,19,20,00000009.jpg,0.576,0.465,10/10/2022,16:51 h, 100.0000,020112
7,00000003,RENOVACION POPULAR,,100.000,19,19,37,00000003.jpg,1.065,0.860,10/10/2022,16:51 h, 100.0000,020112
8,00000004,ALIANZA PARA EL PROGRESO,,100.000,19,19,756,00000004.jpg,21.755,17.573,10/10/2022,16:51 h, 100.0000,020112
9,00000007,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,100.000,19,19,189,00000007.jpg,5.439,4.393,10/10/2022,16:51 h, 100.0000,020112
10,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,19,19,51,00000008.jpg,1.468,1.185,10/10/2022,16:51 h, 100.0000,020112
