,C_CODI_AGP,AGRUPACION,IMAGENAGRUPACION,PORC_AVANCE_ACTA,ACTAS_COMPUTADA,TOTAL_MESAS,TOTAL_VOTOS,NLISTA,POR_VALIDOS,POR_EMITIDOS,fecha,hora,avance,ubigeo
0,00000064,CORAZON PATRIOTA,,100.000,13,13,19,00000064.jpg,0.797,0.710,10/10/2022,10:52 h, 100.0000,110705
1,00000063,JUNIN SOSTENIBLE CON SU GENTE,,100.000,13,13,80,00000063.jpg,3.357,2.991,10/10/2022,10:52 h, 100.0000,110705
2,00000061,MOVIMIENTO REGIONAL SIERRA Y SELVA CONTIGO JUNIN,,100.000,13,13,583,00000061.jpg,24.465,21.794,10/10/2022,10:52 h, 100.0000,110705
3,00000062,JUNIN RENACE,,100.000,13,13,7,00000062.jpg,0.294,0.262,10/10/2022,10:52 h, 100.0000,110705
4,00000060,CAMINEMOS JUNTOS POR JUNIN,,100.000,13,13,591,00000060.jpg,24.801,22.093,10/10/2022,10:52 h, 100.0000,110705
5,00000006,FUERZA POPULAR,,100.000,13,13,5,00000006.jpg,0.210,0.187,10/10/2022,10:52 h, 100.0000,110705
6,00000009,PODEMOS PERU,,100.000,13,13,12,00000009.jpg,0.504,0.449,10/10/2022,10:52 h, 100.0000,110705
7,00000004,ALIANZA PARA EL PROGRESO,,100.000,13,13,101,00000004.jpg,4.238,3.776,10/10/2022,10:52 h, 100.0000,110705
8,00000008,PARTIDO POLITICO NACIONAL PERU LIBRE,,100.000,13,13,959,00000008.jpg,40.243,35.850,10/10/2022,10:52 h, 100.0000,110705
9,00000002,PARTIDO DEMOCRATICO SOMOS PERU,,100.000,13,13,26,00000002.jpg,1.091,0.972,10/10/2022,10:52 h, 100.0000,110705
